course number,name,units,schedule,professor
15504,Fil 40 THR,3.0,TTh 8:30-10AM,"CONCEPCION, GERARD"
15507,Fil 40 THR-1,3.0,TTh 8:30-10AM,"PETRAS, JAYSON"
15513,Fil 40 THU,3.0,TTh 10-11:30AM,"ABIERA, AURA BERTA"
15516,Fil 40 THU-1,3.0,TTh 10-11:30AM,"LEGASPI, WILFREDA"
15518,Fil 40 THU-2,3.0,TTh 10-11:30AM,"PETRAS, JAYSON"
15706,Fil 40 THU-3,3.0,TTh 10-11:30AM,"MANANSALA, MAYNARD"
15720,Fil 40 THU-4,3.0,TTh 10-11:30AM,"ORTIZ, WILL"
15527,Fil 40 THV,3.0,TTh 11:30AM-1PM,"ELISERIO, U"
15528,Fil 40 THV-1,3.0,TTh 11:30AM-1PM,"LEGASPI, WILFREDA"
15529,Fil 40 THV-2,3.0,TTh 11:30AM-1PM,"MANZANO, JOANNE"
15530,Fil 40 THV-3,3.0,TTh 11:30AM-1PM,"PEREGRINO, JOVY"
15634,Fil 40 THV-4,3.0,TTh 11:30AM-1PM,"MORALES, DEIDRE"
15715,Fil 40 THV-5,3.0,TTh 11:30AM-1PM,"SANTOS, ZARINA JOY"
15537,Fil 40 THW,3.0,TTh 1-2:30PM,"CASTANEDA, ROANN KRISTIAN"
15541,Fil 40 THW-1,3.0,TTh 1-2:30PM,"MANZANO, JOANNE"
15707,Fil 40 THW-10,3.0,TTh 1-2:30PM,"MANANSALA, MAYNARD"
15543,Fil 40 THW-2,3.0,TTh 1-2:30PM,"PEREGRINO, JOVY"
15544,Fil 40 THW-3,3.0,TTh 1-2:30PM,"PALIS, RICAMELA"
15545,Fil 40 THW-4,3.0,TTh 1-2:30PM,"SANTOS, ZARINA JOY"
15546,Fil 40 THW-5,3.0,TTh 1-2:30PM,"SY, JOSE MONFRED"
15609,Fil 40 THW-6,3.0,TTh 1-2:30PM,"JOCSON, SCHEDAR"
15667,Fil 40 THW-7,3.0,TTh 1-2:30PM,"EVASCO, EUGENE"
15673,Fil 40 THW-8,3.0,TTh 1-2:30PM,"SALANGA-TORRALBA, ELYRAH"
15700,Fil 40 THW-9,3.0,TTh 1-2:30PM,TBA
15560,Fil 40 THX,3.0,TTh 2:30-4PM,"PEREGRINO, JOVY"
15561,Fil 40 THX-1,3.0,TTh 2:30-4PM,"PEREZ, PAULINE MICHAELA"
15562,Fil 40 THX-2,3.0,TTh 2:30-4PM,"SANTOS, ZARINA JOY"
15563,Fil 40 THX-3,3.0,TTh 2:30-4PM,"SY, JOSE MONFRED"
15668,Fil 40 THX-4,3.0,TTh 2:30-4PM,"EVASCO, EUGENE"
15671,Fil 40 THX-5,3.0,TTh 2:30-4PM,"NAVAL, JIMMUEL"
15674,Fil 40 THX-6,3.0,TTh 2:30-4PM,"SALANGA-TORRALBA, ELYRAH"
15686,Fil 40 THX-7,3.0,TTh 2:30-4PM,"RAMOS, ANATALIA"
15701,Fil 40 THX-8,3.0,TTh 2:30-4PM,TBA
15572,Fil 40 THY,3.0,TTh 4-5:30PM,"ELISERIO, U"
