label,value
CD 190,CD 190
CD 192,CD 192
CD 201,CD 201
CD 202,CD 202
CD 221,CD 221
CD 224,CD 224
CD 231,CD 231
CD 234,CD 234
CD 235,CD 235
CD 236,CD 236
CD 241,CD 241
CD 242,CD 242
CD 271,CD 271
CD 280,CD 280
CD 291,CD 291
CD 292,CD 292
CD 300,CD 300
CE 1,CE 1
CE 11,CE 11
CE 17,CE 17
CE 18,CE 18
CE 22,CE 22
CE 24,CE 24
CE 25,CE 25
CE 29,CE 29
CE 31,CE 31
CE 41,CE 41
CE 111,CE 111
CE 112,CE 112
CE 115,CE 115
CE 116,CE 116
CE 117,CE 117
CE 123,CE 123
CE 124,CE 124
CE 130,CE 130
CE 132,CE 132
CE 141,CE 141
CE 142,CE 142
CE 151,CE 151
CE 152,CE 152
CE 156,CE 156
CE 157,CE 157
CE 162,CE 162
CE 163,CE 163
CE 190,CE 190
CE 197,CE 197
CE 198,CE 198
CE 199,CE 199
CE 201,CE 201
CE 211,CE 211
CE 213,CE 213
CE 214,CE 214
CE 226,CE 226
CE 246,CE 246
CE 248,CE 248
CE 249,CE 249
CE 250,CE 250
CE 252,CE 252
CE 259,CE 259
CE 261,CE 261
CE 262,CE 262
CE 269,CE 269
CE 297,CE 297
CE 300,CE 300
CE 306,CE 306
CE 360,CE 360
CE 400,CE 400
ChE 124,ChE 124
ChE 126,ChE 126
ChE 135,ChE 135
ChE 140,ChE 140
ChE 142,ChE 142
ChE 144,ChE 144
ChE 150,ChE 150
ChE 190,ChE 190
ChE 197,ChE 197
ChE 198,ChE 198
ChE 211,ChE 211
ChE 229,ChE 229
ChE 233,ChE 233
ChE 241,ChE 241
ChE 251,ChE 251
ChE 261,ChE 261
ChE 266,ChE 266
ChE 296.1,ChE 296.1
ChE 296.2,ChE 296.2
ChE 297,ChE 297
ChE 300,ChE 300
ChE 400,ChE 400
Chem 1,Chem 1
Chem 16,Chem 16
Chem 16.1,Chem 16.1
Chem 17,Chem 17
Chem 17.1,Chem 17.1
Chem 26,Chem 26
Chem 26.1,Chem 26.1
Chem 28,Chem 28
Chem 28.1,Chem 28.1
Chem 31,Chem 31
Chem 31.1,Chem 31.1
Chem 34,Chem 34
Chem 40,Chem 40
Chem 40.1,Chem 40.1
Chem 105,Chem 105
Chem 112,Chem 112
Chem 123,Chem 123
Chem 145.1,Chem 145.1
Chem 146,Chem 146
Chem 154,Chem 154
Chem 200,Chem 200
Chem 211,Chem 211
Chem 220,Chem 220
Chem 230,Chem 230
